modelId,type,text,brandId
VkFhcGhScll5YnlBRWJlRkhxVXorUT09,model,MERCEDES Clase A,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
QXp5dEc0Y0kzdVVMdGttUmtwWkFkZz09,model,NISSAN Qashqai,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
VkJENWpRb2JHYnNIWFpPeVZHallvQT09,model,VOLKSWAGEN Golf,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
Vlk2SktLaSswWHo5V2tIcjkwakhUZz09,model,FIAT 500,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
dFB5bVdXblVrZ1ZqdzJYVWRmdHRjZz09,model,PEUGEOT 3008,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
MmV2anhlRXhrcFo3VlZGSHhud1R1QT09,model,CITROEN Berlingo,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
VkhxRTUyWmVJNDZXWm1pTDVBVWN1dz09,model,PEUGEOT 2008,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
QzU5YzZKNytnb0NtU05YRHBvRTVOVWQzQ2xlTDdPTWRhRUlqbngyRG9qMD0=,model,SEAT León,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
Z1cya2dCUzNlWEVMV21NMkQ5YVprZz09,model,KIA Sportage,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
UUdmR3N2ZHgwWW5JaFA0RVEvcFpHdz09,model,HYUNDAI Tucson,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
SlRaMWY3UWhuOU8rck1vaXc0UHovQT09,model,PEUGEOT 208,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
aHZOTUtNWFZpYzBSOXpPbzNuSzNWZz09,model,RENAULT Clio,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
dVhSYVRxcjMweHFTMUNxMC9XME5SQT09,model,CITROEN C4,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
TlVEYVRQTmF4RkU5anFxbUVBTE0xQT09,model,OPEL Corsa,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
UTIwbUlldkh5UFg5RHdLbXN4SE14UT09,model,PEUGEOT 308,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
VWFoeTdHWGxOMW13NmVpZExrWVFoZz09,model,FORD Focus,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
TEpBUS8yRzJweDc1Z2NXcEJLTHh2QT09,model,MERCEDES Clase C,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
NTJEbm5rU1FkcnQwZmZlREE4RFowdz09,model,FORD Kuga,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
UXpaUCtyN0pqc2E1U1hLNlVOOUJJZz09,model,AUDI A3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
WXRQVjFLaXdTaDhDQ21HVExHZEZsdz09,model,SEAT Ibiza,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
WmoyWHVJZGtscldWczFpbW0rcVNWdz09,model,VOLKSWAGEN Polo,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
bnFpQ0N2Y0t6dmxsMVM1V3R6ZG84UT09,model,KIA Ceed,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
ZFlpY0JzV1ZHdVh1NGE5c2YveUovUT09,model,CITROEN C3,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
VENsT01nR3k0OVNkZ1lsVE5JS2lxUT09,model,BMW Serie 1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
QWQzdmMvekUzdURmck9PalpsM0M1Zz09,model,SEAT Arona,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
cTJHQ0dtRDhmOFBjQjQ2TWpqQXNBUT09,model,MINI Mini,d2wzc2V2UktReGgwMHVtNEVrUm0xdz09
aXdETmhBV29SZ1JqSi9DUmpyci9nUT09,model,NISSAN Juke,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
UlY2MDZvQzkwYmFIZldGa2k3Y0lvc0w5a2xUem5ML0tsUmRwRlkvQnMvdz0=,model,RENAULT Mégane,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
OXQxWS91eWliZUI1MEFPQmk4VVQ3UT09,model,VOLKSWAGEN Tiguan,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
UnA1TXR2elo0Y0VhakRNRmFhU2JlUT09,model,OPEL Astra,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
ZEFsMUZqdElrVHMyMUtkSEc0ODBZQT09,model,TOYOTA C-HR,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
WThPZ1J1K2dNZjd2WVJNMmttampJUT09,model,BMW Serie 3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
ZFY2WTdpTmpiWGZEODlpVEdneGNmbjEwalNNU3M4T2k5WlJvNmhtb0tZZz0=,model,MERCEDES Clase GLA,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
bTEyUDRUbmVuSTEzYXo3TGJZU2VCUT09,model,AUDI Q3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
QXA3UlVLbGJmMjgybi85UEVIaTNjV05VSmJsa04wZkRHV05OMHFBYy9qRT0=,model,MERCEDES Clase GLC,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
TlFMcFJKV2JqeVNQVnJHTUVEOUhScmN4MWpSdHJWby9UR1A2Umd3aXVicz0=,model,MERCEDES Clase CLA,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
WWlVaS9ERGQ2Lzh2Ynh4cU5ncGRUQT09,model,VOLKSWAGEN T-Roc,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
akd6N25LQWFhZ081YWJQWVB1Y0toZz09,model,RENAULT Captur,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
MHZTNDRDcFk2amJNeTJNSDRxcngwQT09,model,TOYOTA Corolla,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
cWxia09ZZTYyK3ZDVHlFUXl3ZHEvQT09,model,VOLVO XC40,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
SWxBTkIxejVVOFBDa252aWpZNkJRdz09,model,FORD Puma,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
VVVjNTJlNUJibjVRYngxRjlBQWZhQT09,model,KIA Niro,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
Szlkc2VZSXBWUVhrNll6eHVuN1F5Zz09,model,AUDI A1,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
bE1oSElvYjUwbkI5V2xrY3EzSDB6QT09,model,RENAULT Kangoo,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
aTZRT1V6cEZrNzgyRktFS0hUeXJjMm0wQlFDQ2lrUGwxUVIyNFlRZk5iUT0=,model,CUPRA Formentor,OGJxMEZzZ3ZVbnJ1U3FPakovKzBZdz09
Ly9vVmxEMFk5RFRGMmdSRkJ5RENDQT09,model,SEAT Ateca,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
cFJ0ZkozWUhab0Nack5zTzFHZjczdz09,model,VOLVO XC60,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
Z3ArRzV6N0xocnB1aERSd0Q0VDdqQT09,model,KIA XCeed,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
bVQySmZ1Qk1EaVJmTUtCM1pxcytOdz09,model,PEUGEOT 5008,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
VlpCOTFBTmNoaThoY1ZwSFZoNnYzdz09,model,HYUNDAI Kona,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
bDk2S29CTDRYTllYQ0xGdWUrbXE4Zz09,model,BMW X1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
elBEQTRvS091NXd0YURweEh5V09vUT09,model,AUDI A4,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
U0JuSVJxMjdaMnA4ZEZGRjNueXFWUGFvOEh5amcyL2NKR0p1ckdPeUR2OD0=,model,CITROEN C5 Aircross,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
VE1IekcySGF6TnNrdGZUbncrWUVkUT09,model,MERCEDES Clase B,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
MmJRYW1xV3ZrM200OVhIRzNOTGtaYVVSU1p4YXhocWRGTlUyY2VlQzYvQT0=,model,CITROEN C3 Aircross,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
aW1KQ0p2RGUrRzgxRnd6bDlUTEhRUT09,model,KIA Stonic,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
YzV3akNKWUt6OUtFQU1SU3U5VDNiUT09,model,OPEL Mokka,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
cFJESnI2bmpFR0tzRmZ5T21VT1k3QT09,model,PEUGEOT 508,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
ai9KcFRSMVdKNjRMMlVsWUg1S015bjloVWdnVFlJWXZjUXJ2NFdFOEVJMD0=,model,OPEL Crossland,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
aE0xQlNBVnkwNmJFVkR0bG40VzVaQT09,model,PEUGEOT Rifter,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
a2lXN1VOczBxY09NK3BIcUJOT0ZhUT09,model,VOLKSWAGEN T-Cross,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
VXk4SFRQcXd6MlY4U3JyRXJ6L3AvUT09,model,BMW Serie 2,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
R3gvQlVFMHAvVGgxL29MZmZDVTJxQT09,model,FORD Fiesta,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
U0xCaW52WDhSeUZ0eVJvOHJ2N21RUT09,model,PEUGEOT Partner,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
YlFaV3hFY3cxemhlakQycThCOXprUT09,model,AUDI Q5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
YVRQODZUWExjN0h3ekpVT2NHWXU4dz09,model,PEUGEOT Boxer,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
K0JVY3BQa0RnaVVwWmtaT3laOS94QT09,model,MERCEDES Vito,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
Y0NRcUtxZ2N5emJJZ3VQcDlDbXFSZz09,model,JEEP Compass,TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09
Z25HWmdlRWJMNDVlc3pMcGZXV1BzRFQzZG5KdlFVdXJ5bmxwOVk5ZkdnOD0=,model,LAND ROVER Range Rover Evoque,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
cWxNdkQyMk1tOSs3WHJOOFhqNmJqZz09,model,MERCEDES Clase E,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
N1oxaHF2RlNWYXhwSW9OcFIxYTdLZz09,model,VOLKSWAGEN Passat,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
NVRyTXdGNzJ5NmdQdXhSU3lLUlgrdz09,model,CITROEN Jumper,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
OEMxcWpCNlR6ZGpXdnkvWGE5N1oydz09,model,AUDI Q2,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
b0RlTDNxaE96V1pyaXY3d0RSU2ZwUT09,model,OPEL Combo,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
Z1BxdUdvdWZNVWRKUS8xcThqMzJaQT09,model,DACIA Sandero,WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09
bEdjYXJYNERKNzcxZ2U4NjA4YnJpZz09,model,HYUNDAI i30,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
UlloUDRtL3RFUXVmeGptd2F3YzhhUT09,model,TOYOTA Yaris,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
QUlEU21kOE9ma00rVUh0SHhGdTBLQT09,model,VOLKSWAGEN Caddy,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
Q2E0U1MvQjBVd29mMVZ6QmZ6VzluQT09,model,NISSAN Micra,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
SHd4YmhuOFFmUllidE9BWWJlcGV4Zz09,model,LYNK & CO 01,RGU3L2dRMlY2dWU1RTh3TEwrQ0pFZz09
NlVaS0d2ekFQRWlvcXZVdGRXS1VLUT09,model,MAZDA CX-5,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
UUljajZvRHVoTDRnaDFJTEs5ZTBOUT09,model,JEEP Renegade,TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09
Q24rTks1U2trZzMveEhkcWVyQkhEdz09,model,HYUNDAI i20,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
Z25HWmdlRWJMNDVlc3pMcGZXV1BzUElPSVB5bEQyWENxSDhvS0ZQb0ZMZz0=,model,LAND ROVER Range Rover Sport,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
YmYyaE1wRFZQcGNBei9pdmwxTFhobm54NFRvOGY3WGZWeVFyeWpuYlFhZz0=,model,DS DS 7 Crossback,NEJNZExaUXN0N0RUT0RUUVBpV0llZz09
cllObVBXRkVCbU5sS240TTIyZHhRZz09,model,BMW X2,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
V2pySmZpZWZzVUtUVC8wYXZic2hIQT09,model,SKODA Fabia,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
d0tEUjIxRnduQ0Z2dENSb2dCSm1aUT09,model,AUDI A5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
dmhjWXY1YjhORGhLSHdLTzBRNVladz09,model,BMW X3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
WGxHeCtTZlB2ZER5R3R2amNVdVpYdz09,model,BMW Serie 5,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
bEJBdEFGZ0NGRXNqMEdlRkZPK1JJWDFNWjB1ZXpkNGhsejc4THhpMnRvaz0=,model,MINI Countryman,d2wzc2V2UktReGgwMHVtNEVrUm0xdz09
U3ZJSEt3ckN4TkJhSTR4SHlOUGN5dz09,model,CITROEN Jumpy,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
YXFDRWd0Z1BhcnMyK25VdnF6QVVGdz09,model,FIAT Tipo,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
RnlzUDJ3a3JVaHltWDR6WWw4UjM0UT09,model,MERCEDES Citan,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
TG1KcnJIMmk3VDdHMEpJMzB3OVZiUT09,model,MG ZS,UEtHRFJYbUtOZXZpOUp5NDltNUZJUT09
TDFicHd6blVHWDhvQjNEeEFPZ1ZqZz09,model,DACIA Duster,WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09
UEw3ODJkbkw4MEdZZ3c4SDJSUkpWZz09,model,MG HS,UEtHRFJYbUtOZXZpOUp5NDltNUZJUT09
d3JYWktqQlJLZDFpMXRCbit0TE5wdz09,model,OPEL Insignia,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
L2x4VXlVL1lCZmRsY2tPeWMyVytLUT09,model,MAZDA CX-30,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
RTI0UXg2Mk9hTDZBV2tjU1FOTHRKQT09,model,NISSAN X-Trail,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
MlVsZnVTandZUyszZlZjMlNmTThGQT09,model,RENAULT Scenic,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
dTdqRUdFVUZidlFkQXZDUHhLWnBXQT09,model,DS DS4,NEJNZExaUXN0N0RUT0RUUVBpV0llZz09
Tk1uTzUwZ2lSdTA1YWtkNUVtSmlqUT09,model,FIAT Panda,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
MXIyZjZ1dUZjWlVVMHBmNTBjWGlZQT09,model,SKODA Karoq,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
TGhjeG9xMWtXNm1VZERnRndXeEVTdz09,model,KIA Picanto,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
MHA0bTdDaFc5T3VLUWJxdzR2OWp0Zz09,model,CITROEN C4 Cactus,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
Z0lJM2JYR0g1RXhVaFpxN2c5OWhadz09,model,RENAULT Trafic,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
ZXpDT0lWR3RIdTJrUUR0cGlwMjNWQT09,model,ALFA ROMEO Stelvio,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09
UFNxWkJjR1NSSHYzUHVlVUUvZWV0UT09,model,AUDI A6,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
UzR1MFVzTmFjRHFhSVc4UDEwR2Y5dz09,model,VOLKSWAGEN Taigo,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
QTEzUHNNLzVJZkxHcDR4SUN5UElRZGtoMm4xQzBOMDAxbU9rbzZ5aWxvcz0=,model,CUPRA León,OGJxMEZzZ3ZVbnJ1U3FPakovKzBZdz09
ZnMzSlViQzdQekp5T00vZ0RqcGkyQT09,model,PEUGEOT Expert,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
Rll4K2V0cHJXc3RCMlN1TGwxYzhBZz09,model,BMW Serie 4,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
SlUwRHZjaDVpTWVxQ29kOGJQWXdtdz09,model,MERCEDES Sprinter,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
UEdseHNKa0k3YnRKRE5jKzdwSGJLZz09,model,FORD EcoSport,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
czhWTnRER0J5a3Ayd1hJV08waUZOQT09,model,SKODA Octavia,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
c3dvQmo3S1pwaW9yZGNzaFRsMW9pL0RXTlFnZDZSZ240N0VSZm9GUzI3OD0=,model,OPEL Grandland X,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
bjREQzZiaUV2QWdxY1Q1SUNoNDFJZz09,model,SKODA Kamiq,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
K0JaMGN3RnpXZ3FsT1FOSW5rMzVqSmh1QjNnREZSNXc1RXZmWkFqWVlvZz0=,model,OPEL Grandland,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
UWd0bXRiUEVhWkNTcWdCb2J3cFJzdz09,model,BMW X5,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
YUFJNnNPRDVhZU41TW9QOGpoT2sxQT09,model,LEXUS UX,RCtSNWNwU0VSSmk3Rm5ESEl4K1ZUQT09
QlA3TCtaNXFabVl5TnR3L0xadUlwQT09,model,MAZDA Mazda3,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
YzV3NHdyRGlBNE9yUE9MR1VMVk54c0FlWXlkTDhpMkNqak90QVF5VVFpST0=,model,FIAT Dobló,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
THp1TGlYQmdzelZkOUNMTE5zdWRLdz09,model,FIAT Ducato,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
K1pBZzVLS2lmdit6cXl6UVJvK2NCUlRQZCtVcU91MndvVnJXdC9ZWHBvQT0=,model,MERCEDES Clase GLE,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
MHdMR3QxWnNqclNzWUhCaFdCZ0NVUT09,model,MERCEDES EQA,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
b0R2bERXTVZQWXhYM09JUm5SdW5EQT09,model,RENAULT Kadjar,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
Njh0OFdNL2VxQzRiQjg5QXp6bjFLQT09,model,VOLVO XC90,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
bXJsOFFTalJQVzFMU2xOZ0t5cENFZjUrbTFPNjlkdlpoTmZ0ZXY4clhnaz0=,model,MERCEDES Clase GLB,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
cWZFNG5pVk5ZQnlmVUlJWXRWWkkxUT09,model,FIAT 500X,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
UXRnTXBobk1yVFBLeEVvb0VSdmwwQT09,model,OPEL Vivaro,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
VkdKM3k5enFsQUNCbkZCUEVJaFdHUT09,model,FORD Transit,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
ZGdRb2ErdXpxWkNXTWVCWVUyZEEvUT09,model,HYUNDAI Ioniq,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
dzVOMWIrKzJ1ell0UlBkbXRhK1hDTGkxS0Y2RHFaR1R1VmRLeDhkWXl1Yz0=,model,FORD Transit Custom,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
SUdvOEYrZUQ2QmRlN1N4V3BhOStHUT09,model,TOYOTA RAV-4,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
Z25HWmdlRWJMNDVlc3pMcGZXV1BzUDBWcXNENWY0a0ErUVhYNmhBaXZncz0=,model,LAND ROVER Range Rover Velar,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
ZlFzdjhwWkVCcWhVaUZ2dHFzYk5aQT09,model,MERCEDES Clase V,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
UDJkR2toc25FL2w3anZrRncxQVE0QT09,model,VOLKSWAGEN Crafter,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
MmN2UVpkMWN3MkF3MTlIRlBudmFVdz09,model,MAZDA CX-3,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
YjJJN29ra3Fqdld0NHJRTGtwUytBaFA5N2s3dm5SaEY5MEVDWXVjOWJlaz0=,model,LAND ROVER Discovery Sport,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
MnpienlEd29rNFUrR2g5a1AzMGVTTFJzY2V2RXBQVnJ0SWZiYUJSUFFJMD0=,model,VOLKSWAGEN Transporter,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
TzdVNEYvWUIzbzhQaCtSaCsrMW50dz09,model,IVECO Daily,aWtsVjV4aEpRM3B6UXZucDJJNE5Edz09
VzRmVmR3REw1d0JyODZVL2tLWU5xdz09,model,MERCEDES EQB,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
dS95R3NKcHc1OHIwM05QUk5ublp2dz09,model,VOLKSWAGEN Touran,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
a2N3di9vbjdTZllpT29RQTZKR09EUT09,model,SKODA Scala,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
QjVzbE1wUStkdW96dk1NUzJWZnFjZz09,model,SUZUKI Vitara,OWgzb0QzSVlobVlxZTk4MzhxTkN1UT09
SW5OeFFTdTZmemJtQzI0V3A3YjNFZz09,model,FIAT Talento,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
eld0K2lMYlVlVmpxRU9DdjJudURXZz09,model,TOYOTA Auris,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
WTMwTUFNdllWZEllVU5Ma1Z0amkxZz09,model,JEEP Avenger,TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09
YlZNWE5GMEczOGZ3dkk2MnZicFRUUT09,model,BMW X4,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
ZUIyUnJDdG1DWWdwVXhFeXpMcEV2Zz09,model,FORD Mondeo,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
aTE0QkUydlNYbllldW1ERDlYNk45QT09,model,RENAULT Arkana,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
M3hOM0Q5MXJwRzZ6aGZTbWtjOG83Zz09,model,HYUNDAI i10,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
eU5GUTlZMWllOTFia0dOUTFzejA0a2hHYmJUbXF0bmc4Q2s4azBPblZaQT0=,model,FORD Tourneo Courier,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
V25IMi8zVC9tWmRsbWJxMnZkTE9EQT09,model,HYUNDAI Bayon,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
Y3lPS3M2VnZGaDBEeFo2ak9xMzFsQT09,model,JAGUAR F-Pace,MWRySXFSMFlOaFp6a0hzM2czaVRJUT09
RHFLbzhMZWxXdkF1NVRnZHJrUHhQdz09,model,VOLKSWAGEN Touareg,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
OEJKVXNsRmNpOGV2NjRRSG9ISzlTQT09,model,VOLKSWAGEN Multivan,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
Vm5ObUlobElGempiTGE1Q1Q4M1JWUT09,model,MITSUBISHI ASX,Q1o0OURsamJXQ2tYRlZLK3g2ME5uUT09
YzlPbnNacVpDaWgvK0lBTE9GRGNKR2s0RzFyV0ZkYVZEVTRqTVE2a0x5UT0=,model,DS DS3 Crossback,NEJNZExaUXN0N0RUT0RUUVBpV0llZz09
bkRtUUF5T2t3RVJqMXdIN0VaL1BDQT09,model,FORD C-Max,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
dS8vd0V4aGNsWWp5ZFl0N1FaaUs5UT09,model,KIA Rio,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
dDFSVDI4SWhHVUpJMDd5Rk84L0VXUT09,model,RENAULT Master,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
b1M4d2cxVzZXY3ZxL1UzbVYxdXk5UT09,model,TOYOTA Aygo,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
d0RmbW5ZU3JHUEczTVdURUZvaWRNUT09,model,MAZDA Mazda2,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
QytHSUNTYVpSOTZzQjF4dysxSVR1UT09,model,DACIA Dokker,WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09
