label,cochesNetId,milanunciosId,wallapopId,cochesComId
ABARTH,1330,Abarth,Abarth,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09
ACURA,1355,None,None,None
AIWAYS,1408,None,None,Wkk2N2diTG5JRnpnK0RlbVNEUjhlQT09
ALFA ROMEO,1,Alfa Romeo,Alfa Romeo,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09
ALPINE,1377,None,None,Y0pOWTQwMjdXekR4a3NSRU9Xcms4Zz09
ARO,238,Aro,Aro,None
ASIA,1326,Asia,Asia,None
ASIA MOTORS,2,Asia Motors,Asia Motors,None
ASTON MARTIN,3,Aston Martin,Aston Martin,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09
AUDI,4,Audi,Audi,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
AUSTIN,111,Austin,Austin,None
AUVERLAND,1321,Auverland,Auverland,None
BENTLEY,6,Bentley,Bentley,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09
BERTONE,241,Bertone,Bertone,None
BMW,7,Bmw,Bmw,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
BUGATTI,1345,None,None,None
BUICK,1356,None,None,None
BYD,1352,None,None,anQ4SVVGMUs4eEN2ZXZFUXNjOGFSQT09
CADILLAC,8,Cadillac,Cadillac,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09
CATERHAM,1357,None,None,None
CENNTRO,1415,None,None,None
CHEVROLET,9,Chevrolet,Chevrolet,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09
CHRYSLER,10,Chrysler,Chrysler,NU41SDA2NUZQQVFyNmE5WC9wUWd2dz09
CITROEN,11,Citroen,Citroen,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
CORVETTE,1327,Corvette,Corvette,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09
CUPRA,1400,Cupra,Cupra,OGJxMEZzZ3ZVbnJ1U3FPakovKzBZdz09
DACIA,1011,Dacia,Dacia,WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09
DAEWOO,12,Daewoo,Daewoo,clhpOFhpTVJzenBNeVdQUTk3MmJrZz09
DAIHATSU,13,Daihatsu,Daihatsu,None
DAIMLER,145,Daimler,Daimler,R3g0V1ozTy9YME15ZFlCQ0p6Um5qUT09
DATSUN,1359,None,None,None
DFSK,1351,Dfsk,Dfsk,Y1JocEEvekl4dW04WkhEcXB5WXhxdz09
DODGE,173,Dodge,Dodge,Mzc0MnlSaW42U2lGRzBVSmk3K3RDUT09
DONGFENG,1431,None,None,None
DR AUTOMOBILES,1401,Dr Automobiles,Dr Automobiles,dDRQWW1jU0p4K2NxVVpJUmNya2kzUT09
DS,1358,Ds,Ds,NEJNZExaUXN0N0RUT0RUUVBpV0llZz09
EVO,1410,None,None,bURlM0NkcEtJSGk3emw1RXhxOTRuQT09
FERRARI,146,Ferrari,Ferrari,Vmw0c3ZRcW1FSVhOU2xEZm4ydEZzdz09
FIAT,14,Fiat,Fiat,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
FISKER,1383,None,None,None
FORD,15,Ford,Ford,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
FOTON,1430,None,None,None
FUSO,1397,None,None,None
GALLOPER,16,Galloper,Galloper,aEFxK2g2K3NoRWhrTmdmck5jTlA4QT09
GMC,1360,None,None,None
HOLDEN,1361,None,None,None
HONDA,69,Honda,Honda,R0RqMUROenlmNFVBSnpURm42bGhxZz09
HONGQI,1423,None,None,None
HUMMER,234,Hummer,Hummer,NTRnT1UrMmp3NEl2bEppdTVQL01NUT09
HYUNDAI,18,Hyundai,Hyundai,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
INEOS,1409,None,None,SVdZcVdJbEsvQTEzOGJwb3NPYWdEQT09
INFINITI,1025,Infiniti,Infiniti,Q3ZrVUVsRzdkQVk0UUs3WWdTakcwdz09
INNOCENTI,185,Innocenti,Innocenti,None
INVICTA,1405,None,None,Nk1UcklZYWFGY3B6U2kvSDd5blR1dz09
INVICTA ELECTRIC,1413,None,None,Nk1UcklZYWFGY3B6U2kvSDd5blR1dz09
ISUZU,19,Isuzu,Isuzu,OEUySUwyZzdoZlFkUGRDdHNLckNtZz09
IVECO,126,Iveco,Iveco,aWtsVjV4aEpRM3B6UXZucDJJNE5Edz09
JAECOO,1434,None,None,QnJzcHZFSUtyWWFtcG9WdTJQUGppUT09
JAGUAR,20,Jaguar,Jaguar,MWRySXFSMFlOaFp6a0hzM2czaVRJUT09
JEEP,21,Jeep,Jeep,TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09
KGM,1427,None,None,None
KIA,22,Kia,Kia,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
KTM,1349,None,None,None
LADA,153,Lada,Lada,NHRaL3pYdkZQNTlEUUJCL2FOcEJoQT09
LAMBORGHINI,243,Lamborghini,Lamborghini,d011WWxXSnl0SWF6aWdYMUhIdEkyQT09
LANCIA,23,Lancia,Lancia,V0pia0JxRGpOSE1PaU00R0YrbDhnUT09
LAND-ROVER,24,Land-Rover,Land-Rover,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
LDV,128,Ldv,Ldv,None
LEAPMOTOR,1432,None,None,None
LEVC,1407,None,None,NC9TcFp4eUpTazVKc1hUTFQ1Q0lpQT09
LEXUS,25,Lexus,Lexus,RCtSNWNwU0VSSmk3Rm5ESEl4K1ZUQT09
LIGIER,163,None,None,None
LOTUS,147,Lotus,Lotus,V0JKamhqcmI4U1J1NjZzeW9VVHgvZz09
LYNK & CO,1404,None,LYNK & CO,RGU3L2dRMlY2dWU1RTh3TEwrQ0pFZz09
MAHINDRA,246,Mahindra,Mahindra,WjZTamQySzFPUk9zT2hUbUtXZko2UT09
MASERATI,26,Maserati,Maserati,cW1oa1hWbHd1dHNBYUVLR1hiVWJJZz09
MAXUS,1403,None,None,M3E0dEQ4d0RtbDZrM2V1ZDMyV0N5QT09
MAYBACH,1323,Maybach,Maybach,None
MAZDA,27,Mazda,Mazda,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
MCLAREN,1347,None,None,None
MERCEDES-BENZ,28,Mercedes-Benz,Mercedes-Benz,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
MG,29,Mg,Mg,UEtHRFJYbUtOZXZpOUp5NDltNUZJUT09
M-HERO,1428,None,None,None
MICRO,1433,None,None,None
MINI,222,Mini,Mini,d2wzc2V2UktReGgwMHVtNEVrUm0xdz09
MITSUBISHI,30,Mitsubishi,Mitsubishi,Q1o0OURsamJXQ2tYRlZLK3g2ME5uUT09
MORGAN,149,Morgan,Morgan,d1VHbnhEZk1KaWZUT2FaSzJ0MUI2Zz09
MW MOTORS,1419,None,None,None
NEXTEM,1417,None,None,None
NISSAN,31,Nissan,Nissan,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
OMODA,1420,None,None,VlU0VDgyYUlqYWIySVlrWjU2cURhZz09
OPEL,32,Opel,Opel,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
PEUGEOT,33,Peugeot,Peugeot,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
PIAGGIO,87,Piaggio,Piaggio,OGpWaUFFQWFFb2taVXFUY2NoUWhtQT09
POLESTAR,1402,None,None,UFBaNjFwdUdmTGFyM2ptUnBEYkRxUT09
PONTIAC,112,Pontiac,Pontiac,SVo3eW9TdmlBZWs2ZGhGYVVTbDN6UT09
PORSCHE,34,Porsche,Porsche,SG8xLzJTcFQxNUE5anZpTHdlN2tsdz09
QOROS,1348,None,None,None
RAM,1372,None,None,None
RENAULT,35,Renault,Renault,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
RENAULT V.I.,1329,None,None,None
ROLLS-ROYCE,36,Rolls-Royce,Rolls-Royce,TzhaOVdLejB3STJDdVJkL0ZlQnVFdz09
ROVER,37,Rover,Rover,TFBZR0hYZmg0dzNTb2wrNC9ONTF1dz09
SAAB,38,Saab,Saab,SWs3dFgwYk5KUXJIVzErZmdYYUpxdz09
SAIC,1399,None,None,None
SANTANA,1328,Santana,Santana,QlYyVTUvVmZpK3U2a3JKOXJGOVFrUT09
SEAT,39,Seat,Seat,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
SERES,1422,None,None,NE1VQkZybWpQRlY1aTJ1VEJ4dHVyUT09
SKODA,40,Skoda,Skoda,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
SKYWELL,1425,None,None,None
SMART,41,Smart,Smart,Ykp2aXFqd0Q0dXM5TTdmWjZCN29iQT09
SSANGYONG,42,Ssangyong,Ssangyong,UFdaVDVROFZYVXRmdTArYnl2UHZMdz09
SUBARU,43,Subaru,Subaru,U1pUMzZBWnh2M0dlcmt4RUkyWFhmdz09
SUZUKI,44,Suzuki,Suzuki,OWgzb0QzSVlobVlxZTk4MzhxTkN1UT09
SWM,1411,None,None,cFpHdUQyZGFiclFkaGtsdGRHRG9IZz09
TALBOT,156,Talbot,Talbot,None
TATA,45,Tata,Tata,None
TESLA,1354,Tesla,Tesla,SlJEd0xhcmp6NE8raS9saUxTdzc2QT09
TOYOTA,46,Toyota,Toyota,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
TRIDENT,1353,None,None,None
UMM,1324,Umm,Umm,None
VAZ,1325,Vaz,Vaz,None
VOLKSWAGEN,47,Volkswagen,Volkswagen,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
VOLVO,48,Volvo,Volvo,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
VOYAH,1426,None,None,None
XPENG,1435,None,None,None
YUDO,1421,None,None,RE9pdnF4M1ExTTlsZmw4ZndMQ0xNQT09
ZHIDOU,1418,None,None,None
