makeId,id,label
1330,1186,124 Spider
1330,916,500
1330,970,500C
1330,984,695
1330,917,Grande Punto
1330,1040,Punto
1330,969,Punto EVO
1408,1394,U5
1408,1459,U6
1,186,145
1,205,146
1,187,147
1,58,155
1,59,156
1,60,159
1,87,164
1,217,166
1,771,33
1,1066,4C
1,770,75
1,769,90
1,559,Brera
1,537,Crosswagon
1,1185,Giulia
1,872,Giulietta
1,532,GT
1,207,GTV
1,1547,Junior
1,1546,Milano
1,907,MiTo
1,208,Spider
1,873,Sprint
1,1217,Stelvio
1,1417,Tonale
1377,1288,A110
1377,1573,A290
238,159,10
238,160,24
238,791,Dacia
238,30,Expander
1326,358,Rocsta
2,742,Rocsta
3,993,Cygnet
3,1302,DB11
3,368,DB7
3,387,DB9
3,630,DBS
3,1300,DBS Superleggera
3,1309,DBX
3,952,Rapide
3,369,V8
3,578,V8 Vantage
3,446,Vanquish
3,579,Vantage
3,947,Vantage V12
3,946,Vantage V8
3,756,Virage
3,755,Volante
4,870,100
4,869,200
4,6,80
4,871,90
4,966,A1
4,419,A2
4,345,A3
4,7,A4
4,1275,A4 Allroad
4,925,A4 Allroad Quattro
4,611,A5
4,27,A6
4,1023,A6 allroad quattro
4,1581,A6 e-tron
4,974,A7
4,105,A8
4,414,Allroad Quattro
4,230,Cabriolet
4,100,Coupe
4,1267,e-tron
4,1353,e-tron GT
4,1307,e-tron Sportback
4,1199,Q2
4,999,Q3
4,1293,Q3 Sportback
4,1368,Q4 e-tron
4,1376,Q4 Sportback e-tron
4,904,Q5
4,1342,Q5 SPORTBACK
4,1545,Q6 e-tron
4,571,Q7
4,1255,Q8
4,1457,Q8 e-tron
4,1458,Q8 e-tron Sportback
4,1491,Q8 Sportback e-tron
4,608,R8
4,104,RS2
4,991,RS3
4,416,RS4
4,960,RS5
4,459,RS6
4,1054,RS7
4,1117,S1
4,103,S2
4,408,S3
4,359,S4
4,612,S5
4,96,S6
4,1030,S7
4,344,S8
4,1048,SQ5
4,1184,SQ7
4,360,TT
4,933,TT RS
4,888,TTS
4,868,V8
111,865,Maestro
111,866,Metro
111,726,Mini
111,867,Mini Moke
111,768,Montego
1321,790,Diesel
6,312,Arnage
6,268,Azure
6,1168,Bentayga
6,265,Brooklands
6,267,Continental
6,553,Continental Flying Spur
6,494,Continental GT
6,926,Continental GTC
6,1024,Continental Supersports
6,736,Eight
6,1079,Flying Spur
6,735,Mulsanne
6,266,Turbo
6,734,Turbo R
241,789,Freeclimber Diesel
7,171,Compact
7,1056,i3
7,1374,i4
7,1498,i5
7,1422,i7
7,1085,i8
7,1361,iX
7,1444,iX1
7,1515,ix2
7,1324,iX3
7,539,Serie 1
7,1092,Serie 2
7,1158,Serie 2 Active Tourer
7,1159,Serie 2 Gran Tourer
7,70,Serie 3
7,1084,Serie 4
7,71,Serie 5
7,514,Serie 6
7,177,Serie 7
7,178,Serie 8
7,944,X1
7,1241,X2
7,515,X3
7,1119,X4
7,438,X5
7,880,X6
7,1259,X7
7,1445,XM
7,864,Z1
7,282,Z3
7,291,Z4
7,394,Z8
1345,1061,Veyron
1352,1480,Atto 3
1352,1492,Dolphin
1352,1112,E6
1352,1482,Han
1352,1509,Seal
1352,1536,Seal U
1352,1479,Tang
8,549,BLS
8,504,CTS
8,240,El Dorado
8,547,Escalade
8,238,Seville
8,540,SRX
8,239,STS
8,519,XLR
1415,1473,Logistar 200
1415,1471,Metro
9,384,Alero
9,245,Astro
9,502,Aveo
9,244,Blazer
9,367,Camaro
9,592,Captiva
9,243,Corvette
9,1089,Corvette Stingray
9,932,Cruze
9,584,Epica
9,364,Evanda
9,886,HHR
9,501,Kalos
9,517,Lacetti
9,1029,Malibu
9,374,Matiz
9,297,Nubira
9,988,Orlando
9,954,Spark
9,444,Tacuma
9,440,Tahoe
9,451,TrailBlazer
9,366,Trans Sport
9,1070,Trax
9,1014,Volt
10,520,300C
10,119,300M
10,512,Crossfire
10,123,Grand Voyager
10,862,Le Baron
10,135,Neon
10,246,New Yorker
10,441,PT Cruiser
10,863,Saratoga
10,144,Sebring
10,145,Sebring 200C
10,143,Stratus
10,124,Viper
10,118,Vision
10,137,Voyager
11,860,2CV
11,1463,AMI
11,127,AX
11,678,Berlingo
11,896,Berlingo First
11,745,BX
11,556,C1
11,635,C-15
11,251,C2
11,761,C25
11,485,C3
11,1224,C3 Aircross
11,1538,C3 Origin
11,927,C3 Picasso
11,496,C3 Pluriel
11,353,C4
11,1031,C4 Aircross
11,1118,C4 Cactus
11,619,C4 Picasso
11,890,C4 Sedán
11,1247,C4 Spacetourer
11,1455,C4 X
11,427,C5
11,1260,C5 Aircross
11,1314,C5 Aircross Hybrid
11,1385,C5 X
11,586,C6
11,130,C8
11,625,C-Crosser
11,1047,C-Elysée
11,856,CX
11,989,C-Zero
11,957,DS3
11,998,DS4
11,1015,DS5
11,1454,ë-Berlingo
11,1539,ë-C3
11,1558,ë-C3 Aircross
11,1331,ë-C4
11,1456,ëC4 X
11,1448,ë-Jumpy
11,1191,E-Mehari
11,1453,ë-Spacetourer
11,129,Evasión
11,594,Grand C4 Picasso
11,1248,Grand C4 Spacetourer
11,857,GSA
11,1582,Holidays
11,663,Jumper
11,670,Jumpy
11,859,LNA
11,878,Nemo
11,250,Saxo
11,1196,Spacetourer
11,858,Visa
11,11,Xantia
11,125,XM
11,352,Xsara
11,413,Xsara Picasso
11,128,ZX
1327,375,Corvette
1400,1258,Ateca
1400,1381,Born
1400,1329,Formentor
1400,1335,León
1400,1555,Tavascan
1400,1580,Terramar
1011,31,Contac
1011,1055,Dokker
1011,962,Duster
1011,1389,Jogger
1011,1028,Lodgy
1011,575,Logan
1011,903,Sandero
1011,1370,Spring
12,203,Aranos
12,298,Compact
12,363,Evanda
12,500,Kalos
12,516,Lacetti
12,295,Lanos
12,362,Leganza
12,373,Matiz
12,202,Nexia
12,296,Nubira
12,299,Nubira Compact
12,443,Tacuma
13,65,Applause
13,66,Charade
13,236,Feroza
13,235,Rocky
13,574,Sirion
13,314,Terios
145,747,Double Six
145,114,Serie XJ
145,855,Series III
145,748,Six
145,557,XJ
1351,1467,500
1351,1268,580
1351,1320,Fengon 5
1351,1319,ix5
1351,1354,Seres 3
1351,1102,Serie K
1351,1107,Serie K
1351,1110,Serie K
1351,1111,Serie K
1351,1101,Serie V
1351,1103,Serie V
1351,1104,Serie V
173,618,Avenger
173,582,Caliber
173,1519,Challenger
173,1518,Charger
173,1517,Durango
173,894,Journey
173,616,Nitro
173,541,Viper
1431,1576,Box
1401,1486,DR 1.0 EV
1401,1403,DR 3
1401,1484,DR 3.0
1401,1404,DR 4.0
1401,1411,DR 5.0
1401,1409,DR 6
1401,1487,DR 6.0
1401,1488,DR 7.0
1401,1408,DR EVO 5
1401,1410,DR F35
1401,1270,DR3
1401,1269,DR4
1401,1402,DR4.0
1401,1271,DR5 EVO
1401,1272,DR6
1401,1405,F35
1401,1485,PK8
1358,1149,DS 3
1358,1263,DS 3 Crossback
1358,1308,DS 3 Crossback E-Tense
1358,1147,DS 4
1358,1169,DS 4 Crossback
1358,1148,DS 5
1358,1440,DS 7
1358,1223,DS 7 Crossback
1358,1290,DS 7 Crossback E-Tense
1358,1348,DS 9
1358,1152,DS3
1358,1150,DS4
1410,1477,cross 4
1410,1412,EVO 3
1410,1414,EVO 3 Electric
1410,1413,EVO 4
1410,1415,EVO 5
1410,1526,EVO 7
146,854,328
146,737,348
146,744,355
146,190,360
146,852,412
146,629,430
146,196,456
146,197,456M
146,953,458
146,1161,488
146,1151,488 GTB
146,739,512
146,193,550 Maranello
146,194,575M Maranello
146,195,599
146,198,612
146,1245,812
146,912,California
146,511,Enzo
146,1099,F12
146,1078,F12 Berlinetta
146,189,F355
146,851,F40
146,191,F430
146,294,F50
146,192,F512 M
146,1027,FF
146,1183,GTC4
146,1059,LaFerrari
146,853,Mondial
146,1244,Portofino
146,560,Superamerica
146,738,Testarossa
14,1180,124 Spider
14,598,500
14,963,500C
14,1038,500L
14,1138,500X
14,397,600
14,849,Argenta
14,211,Barchetta
14,278,Brava
14,276,Bravo
14,13,Cinquecento
14,172,Coupé
14,1,Croma
14,694,Doblò
14,693,Doblò Cargo
14,1280,Doblò Panorama
14,664,Ducato
14,1434,e-Doblò
14,1476,E-Ulysse
14,654,Fiorino
14,1002,Freemont
14,1190,Fullback
14,76,Grande Punto
14,531,Idea
14,597,Linea
14,210,Marea
14,400,Multipla
14,355,Palio Weekend
14,163,Panda
14,1017,Panda Classic
14,75,Punto
14,913,Punto Classic
14,958,Punto EVO
14,914,Qubo
14,767,Regata
14,850,Ritmo
14,595,Sedici
14,14,Seicento
14,277,Stilo
14,710,Strada
14,785,Talento
14,209,Tempra
14,164,Tipo
14,184,Ulysse
14,175,Uno
1383,1530,Ocean
15,1033,B-MAX
15,1483,Bronco
15,847,Capri
15,497,C-Max
15,967,Connect
15,382,Cougar
15,655,Courier
15,1063,EcoSport
15,1174,Edge
15,37,Escort
15,233,Explorer
15,86,Fiesta
15,38,Focus
15,476,Focus C-MAX
15,490,Fusion
15,283,Galaxy
15,848,Granada
15,972,Grand C-Max
15,1136,Grand Tourneo Connect
15,1132,Grand Tourneo Custom
15,289,KA
15,1192,Ka+
15,882,Kuga
15,26,Maverick
15,39,Mondeo
15,1130,Mustang
15,1326,Mustang Mach-E
15,760,Orion
15,776,Pick Up
15,176,Probe
15,365,Puma
15,688,Ranger
15,40,Scorpio
15,757,Sierra
15,590,S-MAX
15,495,StreetKa
15,1128,Tourneo Connect
15,1127,Tourneo Courier
15,1044,Tourneo Custom
15,645,Transit
15,702,Transit Connect
15,1114,Transit Courier
15,1043,Transit Custom
1430,1574,Tunland G7
1430,1575,Tunland V9
16,370,Exceed
16,381,Santamo
16,395,Super Exceed
69,93,Accord
69,97,Civic
69,846,Concerto
69,354,CR-V
69,101,CRX
69,964,CR-Z
69,1505,e:NY1
69,544,FR-V
69,1298,Honda e
69,401,HR-V
69,924,Insight
69,456,Jazz
69,220,Legend
69,402,Logo
69,199,NSX
69,102,Prelude
69,409,S2000
69,454,Stream
69,1504,ZR-V
1423,1542,E-HS9
234,475,H2
234,564,H3
234,921,H3T
18,132,Accent
18,356,Atos
18,412,Atos Prime
18,1372,Bayon
18,216,Coupé
18,121,Elantra
18,986,Genesis
18,491,Getz
18,1064,Grand Santa Fe
18,879,Grandeur
18,357,H-1
18,1144,H-1 Travel
18,885,i10
18,928,i20
18,1189,i20 Active
18,622,i30
18,1000,i40
18,901,i800
18,1202,IONIQ
18,1371,IONIQ 5
18,1465,IONIQ 6
18,980,ix20
18,961,ix35
18,922,ix55
18,1239,Kona
18,36,Lantra
18,431,Matrix
18,1249,Nexo
18,728,Pony
18,425,Santa Fe
18,215,Scoupe
18,51,Sonata
18,908,Sonata FL
18,1427,Staria
18,428,Terracan
18,418,Trajet
18,529,TUCSON
18,1003,Veloster
18,417,XG
1409,1424,Grenadier
1025,910,EX
1025,911,FX
1025,909,G
1025,973,M
1025,1086,Q30
1025,1068,Q50
1025,1121,Q60
1025,1122,Q70
1025,1195,QX30
1025,1124,QX50
1025,1123,QX70
185,20,Elba
185,845,Minitre
1405,1346,D2S
1405,1392,Metro
1405,1393,Orca
1413,1460,Cenntro Logistar Pick Up
1413,1432,D2S
1413,1462,EVum aCar
1413,1433,Metro
1413,1431,Orca
1413,1429,Orca Pick Up
19,706,D MAX
19,723,D-Max
19,698,Pick Up
19,712,Rodeo
19,393,Trooper
126,633,Daily
126,887,Massif
1434,1589,7
20,1226,E-Pace
20,1166,F-Pace
20,1058,F-Type
20,1246,i-Pace
20,91,Serie XJ
20,92,Serie XK
20,406,S-Type
20,1139,XE
20,407,XF
20,113,XJ
20,426,X-Type
21,1452,Avenger
21,148,Cherokee
21,580,Commander
21,603,Compass
21,1364,Gladiator
21,218,Grand Cherokee
21,617,Patriot
21,1131,Renegade
21,138,Wrangler
21,614,Wrangler Unlimited
1427,1566,Korando
1427,1569,Musso
1427,1564,Rexton
1427,1565,Tivoli
1427,1567,Tivoli Grand
1427,1568,Torres
22,439,Carens
22,386,Carnival
22,607,cee'd
22,1041,cee'd Sportswagon
22,626,cee'd Sporty Wagon
22,1276,Ceed Tourer
22,445,Cerato
22,348,Clarus
22,1266,e-Niro
22,1287,e-Soul
22,1591,EV3
22,1369,EV6
22,1502,EV9
22,389,Joice
22,703,k2500
22,701,K2500 Frontier
22,429,Magentis
22,1197,Niro
22,1235,Niro Hïbrido Enchufable
22,1273,Niro PHEV
22,530,Opirus
22,1019,Optima
22,1210,Optima GT
22,1234,Optima Hïbrido Enchufable
22,1209,Optima PHEV
22,1208,Optima SW
22,1207,Optima SW GT
22,1236,Optima SW Hïbrido Enchufable
22,1274,Optima SW PHEV
22,535,Picanto
22,347,Pride
22,631,Pro Cee'd
22,1205,pro_cee'd GT
22,1317,ProCeed
22,442,Rio
22,140,Sephia
22,141,Sephia II
22,372,Shuma
22,489,Sorento
22,919,Soul
22,1206,Soul EV
22,139,Sportage
22,1237,Stinger
22,1229,Stonic
22,955,Venga
22,1294,XCeed
1349,1076,XBow
153,507,214
153,1088,4X4
153,627,Kalina
153,165,Niva
153,983,Priora
153,234,Sagona
153,161,Samara
153,844,Serie 2100
153,378,Stawra 2110
243,1382,
243,995,Aventador
243,526,Gallardo
243,1116,Huracán
243,527,Murcielago
243,1062,Veneno
23,843,A112
23,84,Dedra
23,19,Delta
23,61,K
23,758,Kappa
23,183,Lybra
23,536,Musa
23,343,Phedra
23,842,Prisma
23,743,Thema
23,342,Thesis
23,841,Trevi
23,1013,Voyager
23,339,Y
23,78,Y10
23,340,Ypsilon
23,992,Ypsilon Elefantino
23,204,Z
23,749,Zeta
24,231,Defender
24,232,Discovery
24,939,Discovery 4
24,1134,Discovery Sport
24,313,Freelander
24,115,Range Rover
24,994,Range Rover Evoque
24,546,Range Rover Sport
24,1218,Range Rover Velar
128,713,Maxus
1432,1586,C10
1432,1587,T03
25,985,CT
25,1251,ES
25,746,GS
25,126,GS300
25,334,GS430
25,583,GS450h
25,335,GS460
25,883,IS
25,323,IS200
25,565,IS220d
25,480,IS250
25,479,IS300
25,1512,LBX
25,1203,LC
25,1494,LM
25,741,LS
25,32,LS400
25,33,LS430
25,602,LS460
25,620,LS600h
25,1125,NX
25,1126,RC
25,930,RX
25,333,RX300
25,581,RX350
25,562,RX400h
25,1436,RZ
