"model_id","name","brand_id","wallapop_name"
"186","145","1","145"
"205","146","1","146"
"187","147","1","147"
"58","155","1",""
"59","156","1","156"
"60","159","1","159"
"87","164","1",""
"217","166","1","166"
"771","33","1",""
"1066","4C","1","4C"
"770","75","1",""
"769","90","1",""
"559","Brera","1","Brera"
"537","Crosswagon","1",""
"1185","Giulia","1","Giulia"
"872","Giulietta","1","Giulietta"
"532","GT","1","GT"
"207","GTV","1","GTV"
"907","MiTo","1",""
"208","Spider","1","Spider"
"873","Sprint","1",""
"1217","Stelvio","1","Stelvio"
"1417","Tonale","1","Tonale"
"","","1","8C Competizione"
"","","1","MiTO"
"742","Rocsta","2",""
"993","Cygnet","3","Cygnet"
"1302","DB11","3","DB11"
"368","DB7","3","DB7"
"387","DB9","3","DB9"
"630","DBS","3","DBS"
"1300","DBS Superleggera","3","DBS Superleggera"
"1309","DBX","3","DBX"
"952","Rapide","3","Rapide"
"369","V8","3",""
"578","V8 Vantage","3",""
"446","Vanquish","3","Vanquish"
"579","Vantage","3","Vantage"
"947","Vantage V12","3",""
"946","Vantage V8","3",""
"756","Virage","3","Virage"
"","","3","Volante"
"870","100","4",""
"869","200","4",""
"6","80","4",""
"871","90","4",""
"966","A1","4","A1"
"419","A2","4","A2"
"345","A3","4","A3"
"7","A4","4","A4"
"925","A4 Allroad Quattro","4",""
"611","A5","4","A5"
"27","A6","4","A6"
"1023","A6 allroad quattro","4",""
"974","A7","4","A7"
"105","A8","4","A8"
"414","Allroad Quattro","4",""
"230","Cabriolet","4","Cabriolet"
"100","Coupe","4",""
"1267","e-tron","4","e-tron"
"1353","e-tron GT","4","e-tron GT"
"1307","e-tron Sportback","4",""
"1199","Q2","4","Q2"
"999","Q3","4","Q3"
"1293","Q3 Sportback","4",""
"1368","Q4 e-tron","4",""
"1376","Q4 Sportback e-tron","4",""
"904","Q5","4","Q5"
"1342","Q5 SPORTBACK","4",""
"571","Q7","4","Q7"
"1255","Q8","4","Q8"
"1457","Q8 e-tron","4","Q8 e-tron"
"1458","Q8 e-tron Sportback","4",""
"1491","Q8 Sportback e-tron","4",""
"608","R8","4","R8"
"104","RS2","4",""
"991","RS3","4","RS3"
"416","RS4","4","RS4"
"960","RS5","4","RS5"
"459","RS6","4","RS6"
"1054","RS7","4","RS7"
"1090","RS Q3","4","RS Q3"
"1117","S1","4","S1"
"103","S2","4",""
"408","S3","4","S3"
"359","S4","4","S4"
"612","S5","4","S5"
"96","S6","4","S6"
"1030","S7","4","S7"
"344","S8","4","S8"
"1048","SQ5","4","SQ5"
"1184","SQ7","4","SQ7"
"360","TT","4","TT"
"933","TT RS","4","TT RS"
"888","TTS","4",""
"868","V8","4",""
"","","4","A1 allstreet"
"","","4","A1 citycarver "
"","","4","A4 Allroad"
"","","4","A6 Allroad"
"","","4","e-tron S"
"","","4","Q4"
"","","4","RS e-tron GT"
"","","4","RS Q8"
"","","4","SQ2"
"","","4","SQ8"
"","","4","SQ8 e-tron"
"312","Arnage","6","Arnage"
"268","Azure","6","Azure"
"1168","Bentayga","6","Bentayga"
"265","Brooklands","6","Brooklands"
"267","Continental","6","Continental"
"553","Continental Flying Spur","6",""
"494","Continental GT","6",""
"926","Continental GTC","6",""
"1024","Continental Supersports","6",""
"1079","Flying Spur","6","Flying Spur"
"735","Mulsanne","6","Mulsanne"
"266","Turbo","6",""
"734","Turbo R","6",""
"171","Compact","7",""
"1056","i3","7","i3"
"1374","i4","7","i4"
"1498","i5","7","i5"
"1422","i7","7","i7"
"1085","i8","7","i8"
"1361","iX","7","iX"
"1444","iX1","7","iX1"
"1515","ix2","7",""
"1324","iX3","7","iX3"
"539","Serie 1","7","Serie 1"
"1092","Serie 2","7","Serie 2"
"1158","Serie 2 Active Tourer","7",""
"1159","Serie 2 Gran Tourer","7",""
"70","Serie 3","7","Serie 3"
"1084","Serie 4","7","Serie 4"
"71","Serie 5","7","Serie 5"
"514","Serie 6","7","Serie 6"
"177","Serie 7","7","Serie 7"
"178","Serie 8","7","Serie 8"
"944","X1","7","X1"
"1241","X2","7","X2"
"515","X3","7","X3"
"1119","X4","7","X4"
"438","X5","7","X5"
"880","X6","7","X6"
"1259","X7","7","X7"
"1445","XM","7","XM"
"864","Z1","7",""
"282","Z3","7","Z3"
"291","Z4","7","Z4"
"394","Z8","7","Z8"
"","","7","iX2"
"","","7","Serie 6 GT"
"","","7","X3 M"
"","","7","X4 M"
"","","7","X5 M"
"","","7","X6 M"
"549","BLS","8","BLS"
"504","CTS","8","CTS"
"240","El Dorado","8",""
"547","Escalade","8","Escalade"
"238","Seville","8","Seville"
"540","SRX","8","SRX"
"239","STS","8","STS"
"519","XLR","8","XLR"
"","","8","ATS"
"384","Alero","9","Alero"
"245","Astro","9",""
"502","Aveo","9","Aveo"
"244","Blazer","9","Blazer"
"367","Camaro","9","Camaro"
"592","Captiva","9","Captiva"
"243","Corvette","9","Corvette"
"1089","Corvette Stingray","9",""
"932","Cruze","9","Cruze"
"584","Epica","9","Epica"
"364","Evanda","9","Evanda"
"886","HHR","9","HHR"
"501","Kalos","9","Kalos"
"517","Lacetti","9","Lacetti"
"1029","Malibu","9","Malibu"
"374","Matiz","9","Matiz"
"297","Nubira","9","Nubira"
"988","Orlando","9","Orlando"
"954","Spark","9","Spark"
"444","Tacuma","9","Tacuma"
"440","Tahoe","9","Tahoe"
"451","TrailBlazer","9",""
"366","Trans Sport","9","Trans Sport"
"1070","Trax","9","Trax"
"1014","Volt","9","Volt"
"","","9","Trailblazer"
"520","300C","10",""
"119","300M","10",""
"512","Crossfire","10","Crossfire"
"123","Grand Voyager","10","Grand Voyager"
"861","Gran Voyager","10",""
"862","Le Baron","10",""
"135","Neon","10","Neon"
"246","New Yorker","10",""
"441","PT Cruiser","10","PT Cruiser"
"863","Saratoga","10",""
"144","Sebring","10","Sebring"
"145","Sebring 200C","10",""
"143","Stratus","10","Stratus"
"124","Viper","10","Viper"
"118","Vision","10",""
"137","Voyager","10","Voyager"
"","","10","300 C"
"","","10","300 M"
"860","2CV","11",""
"1463","AMI","11","AMI"
"127","AX","11",""
"678","Berlingo","11","Berlingo"
"896","Berlingo First","11",""
"745","BX","11",""
"556","C1","11","C1"
"635","C15","11",""
"251","C2","11","C2"
"761","C25","11",""
"485","C3","11","C3"
"1224","C3 Aircross","11","C3 Aircross"
"927","C3 Picasso","11","C3 Picasso"
"496","C3 Pluriel","11",""
"353","C4","11","C4"
"1031","C4 Aircross","11","C4 Aircross"
"1118","C4 Cactus","11","C4 Cactus"
"619","C4 Picasso","11","C4 Picasso"
"890","C4 Sedán","11",""
"1247","C4 Spacetourer","11",""
"1455","C4 X","11","C4 X"
"427","C5","11","C5"
"1260","C5 Aircross","11","C5 Aircross"
"1314","C5 Aircross Hybrid","11",""
"1385","C5 X","11","C5 X"
"586","C6","11","C6"
"130","C8","11","C8"
"625","C-Crosser","11","C-Crosser"
"1047","C-Elysée","11",""
"856","CX","11",""
"989","C-Zero","11","C-Zero"
"957","DS3","11","DS3"
"998","DS4","11","DS4"
"1015","DS5","11","DS5"
"1454","ë-Berlingo","11","ë-Berlingo"
"1331","ë-C4","11","ë-C4"
"1456","ëC4 X","11",""
"1191","E-Mehari","11","E-Mehari"
"1453","ë-Spacetourer","11",""
"129","Evasion","11","Evasion"
"594","Grand C4 Picasso","11","Grand C4 Picasso"
"1248","Grand C4 Spacetourer","11",""
"857","GSA","11",""
"663","Jumper","11","Jumper"
"670","Jumpy","11","Jumpy"
"859","LNA","11",""
"878","Nemo","11","Nemo"
"250","Saxo","11","Saxo"
"1196","Spacetourer","11",""
"858","Visa","11",""
"11","Xantia","11","Xantia"
"125","XM","11","XM"
"352","Xsara","11","Xsara"
"413","Xsara Picasso","11",""
"128","ZX","11",""
"","","11","C 15"
"","","11","C4 SpaceTourer"
"","","11","C-Élysée"
"","","11","ë-C4 X"
"","","11","ë-Jumper"
"","","11","ë-Jumpy"
"","","11","ë-SpaceTourer"
"","","11","Grand C4 SpaceTourer"
"","","11","Pluriel"
"","","11","SpaceTourer"
"203","Aranos","12",""
"298","Compact","12",""
"363","Evanda","12","Evanda"
"500","Kalos","12","Kalos"
"516","Lacetti","12","Lacetti"
"295","Lanos","12","Lanos"
"362","Leganza","12","Leganza"
"373","Matiz","12","Matiz"
"202","Nexia","12",""
"296","Nubira","12","Nubira"
"299","Nubira Compact","12",""
"443","Tacuma","12","Tacuma"
"","","12","Lublin"
"65","Applause","13",""
"66","Charade","13",""
"236","Feroza","13",""
"235","Rocky","13",""
"574","Sirion","13","Sirion"
"314","Terios","13","Terios"
"","","13","Materia"
"1180","124 Spider","14","124 Spider"
"598","500","14","500"
"963","500C","14",""
"1038","500L","14","500L"
"1138","500X","14","500X"
"397","600","14",""
"849","Argenta","14",""
"211","Barchetta","14","Barchetta"
"278","Brava","14",""
"276","Bravo","14","Bravo"
"13","Cinquecento","14",""
"172","Coupe","14","Coupe"
"1","Croma","14","Croma"
"694","Doblò","14","Doblò"
"693","Doblò Cargo","14",""
"1280","Doblò Panorama","14",""
"664","Ducato","14","Ducato"
"1434","e-Doblò","14","e-Doblò"
"1476","E-Ulysse","14","E-Ulysse"
"654","Fiorino","14","Fiorino"
"1002","Freemont","14","Freemont"
"1190","Fullback","14","Fullback"
"76","Grande Punto","14",""
"531","Idea","14","Idea"
"597","Linea","14","Linea"
"210","Marea","14","Marea"
"400","Multipla","14","Multipla"
"355","Palio Weekend","14",""
"163","Panda","14","Panda"
"1017","Panda Classic","14",""
"75","Punto","14","Punto"
"913","Punto Classic","14",""
"958","Punto EVO","14",""
"914","Qubo","14","Qubo"
"767","Regata","14",""
"850","Ritmo","14",""
"595","Sedici","14","Sedici"
"14","Seicento","14","Seicento"
"277","Stilo","14","Stilo"
"710","Strada","14","Strada"
"785","Talento","14","Talento"
"209","Tempra","14",""
"164","Tipo","14","Tipo"
"184","Ulysse","14","Ulysse"
"175","Uno","14",""
"","","14","600e"
"","","14","Brava / Bravo"
"","","14","e-Ducato"
"","","14","E-Scudo"
"","","14","Palio"
"","","14","Punto Evo"
"","","14","Scudo"
"1033","B-MAX","15","B-MAX"
"1483","Bronco","15","Bronco"
"847","Capri","15",""
"497","C-Max","15",""
"967","Connect","15",""
"382","Cougar","15","Cougar"
"655","Courier","15",""
"1063","EcoSport","15","EcoSport"
"1174","Edge","15","Edge"
"37","Escort","15","Escort"
"233","Explorer","15","Explorer"
"86","Fiesta","15","Fiesta"
"38","Focus","15","Focus"
"476","Focus C-MAX","15",""
"490","Fusion","15","Fusion"
"283","Galaxy","15","Galaxy"
"848","Granada","15",""
"972","Grand C-Max","15",""
"1136","Grand Tourneo Connect","15",""
"1132","Grand Tourneo Custom","15",""
"1192","Ka+","15","Ka+"
"289","KA","15",""
"882","Kuga","15","Kuga"
"26","Maverick","15",""
"39","Mondeo","15","Mondeo"
"1130","Mustang","15","Mustang"
"1326","Mustang Mach-E","15","Mustang Mach-E"
"760","Orion","15",""
"176","Probe","15",""
"365","Puma","15","Puma"
"688","Ranger","15","Ranger"
"40","Scorpio","15",""
"757","Sierra","15",""
"590","S-MAX","15","S-MAX"
"495","StreetKa","15",""
"1128","Tourneo Connect","15","Tourneo Connect"
"1127","Tourneo Courier","15","Tourneo Courier"
"1044","Tourneo Custom","15","Tourneo Custom"
"645","Transit","15","Transit"
"702","Transit Connect","15","Transit Connect"
"1043","Transit Custom","15","Transit Custom"
"","","15","C-MAX"
"","","15","E-Transit"
"","","15","Edge Vignale"
"","","15","Focus Vignale"
"","","15","Grand C-MAX"
"","","15","Grand Tourneo Connec"
"","","15","Ka"
"","","15","Kuga Vignale"
"","","15","Mondeo Vignale"
"","","15","Puma (97)"
"","","15","Puma Vignale"
"","","15","S-MAX Vignale"
"","","15","Tourneo"
"","","15","Transit Courier"
"370","Exceed","16","Exceed"
"381","Santamo","16","Santamo"
"395","Super Exceed","16","Super Exceed"
"","","16","Innovation"
"132","Accent","18","Accent"
"356","Atos","18","Atos"
"412","Atos Prime","18","Atos Prime"
"1372","Bayon","18",""
"216","Coupe","18","Coupe"
"121","Elantra","18","Elantra"
"986","Genesis","18","Genesis"
"491","Getz","18","Getz"
"879","Grandeur","18","Grandeur"
"1064","Grand Santa Fe","18","Grand Santa Fe"
"357","H-1","18","H-1"
"1144","H-1 Travel","18",""
"885","i10","18","i10"
"928","i20","18","i20"
"1189","i20 Active","18",""
"622","i30","18","i30"
"1000","i40","18","i40"
"901","i800","18","i800"
"1202","IONIQ","18","IONIQ"
"1371","IONIQ 5","18","IONIQ 5"
"1465","IONIQ 6","18","IONIQ 6"
"980","ix20","18","ix20"
"961","ix35","18","ix35"
"922","ix55","18","ix55"
"1239","Kona","18","Kona"
"36","Lantra","18","Lantra"
"431","Matrix","18","Matrix"
"1249","Nexo","18","Nexo"
"728","Pony","18",""
"425","Santa Fe","18","Santa Fe"
"215","Scoupe","18",""
"51","Sonata","18","Sonata"
"908","Sonata FL","18",""
"1427","Staria","18","Staria"
"428","Terracan","18","Terracan"
"418","Trajet","18","Trajet"
"529","TUCSON","18",""
"1003","Veloster","18","Veloster"
"417","XG","18","XG"
"","","18","BAYON"
"","","18","Genesis Coupe"
"","","18","H 100"
"","","18","H350"
"","","18","Tucson"
"723","D-Max","19","D-Max"
"706","D MAX","19",""
"698","Pick Up","19",""
"712","Rodeo","19","Rodeo"
"393","Trooper","19","Trooper"
"","","19","D-Max N57"
"","","19","D-Max N60"
"","","19","NKR"
"","","19","NLR"
"","","19","NLS"
"","","19","NNR"
"","","19","NPR"
"","","19","Pick up"
"1226","E-Pace","20","E-Pace"
"1166","F-Pace","20","F-Pace"
"1058","F-Type","20","F-Type"
"1246","i-Pace","20",""
"91","Serie XJ","20",""
"92","Serie XK","20",""
"406","S-Type","20","S-Type"
"1139","XE","20","XE"
"407","XF","20","XF"
"113","XJ","20","XJ"
"426","X-Type","20","X-Type"
"","","20","Daimler"
"","","20","I-Pace"
"","","20","XK Series"
"","","20","XK8"
"","","20","XKR"
"1452","Avenger","21","Avenger"
"148","Cherokee","21","Cherokee"
"580","Commander","21","Commander"
"603","Compass","21","Compass"
"1364","Gladiator","21","Gladiator"
"218","Grand Cherokee","21","Grand Cherokee"
"617","Patriot","21","Patriot"
"1131","Renegade","21","Renegade"
"138","Wrangler","21","Wrangler"
"614","Wrangler Unlimited","21",""
"439","Carens","22","Carens"
"386","Carnival","22","Carnival"
"607","Ceed","22","Ceed"
"1041","cee'd Sportswagon","22",""
"626","cee'd Sporty Wagon","22",""
"1276","Ceed Tourer","22",""
"445","Cerato","22","Cerato"
"348","Clarus","22","Clarus"
"1266","e-Niro","22","e-Niro"
"1287","e-Soul","22","e-Soul"
"1369","EV6","22","EV6"
"1502","EV9","22","EV9"
"389","Joice","22","Joice"
"703","k2500","22",""
"701","K2500 Frontier","22",""
"429","Magentis","22","Magentis"
"1197","Niro","22","Niro"
"1235","Niro Hïbrido Enchufable","22",""
"1273","Niro PHEV","22",""
"530","Opirus","22","Opirus"
"1019","Optima","22","Optima"
"1210","Optima GT","22",""
"1234","Optima Hïbrido Enchufable","22",""
"1209","Optima PHEV","22",""
"1208","Optima SW","22",""
"1207","Optima SW GT","22",""
"1236","Optima SW Hïbrido Enchufable","22",""
"1274","Optima SW PHEV","22",""
"535","Picanto","22","Picanto"
"347","Pride","22","Pride"
"631","pro_cee'd","22",""
"1317","ProCeed","22","ProCeed"
"1205","pro_cee'd GT","22",""
"442","Rio","22","Rio"
"140","Sephia","22","Sephia"
"141","Sephia II","22",""
"372","Shuma","22","Shuma"
"489","Sorento","22","Sorento"
"919","Soul","22","Soul"
"1206","Soul EV","22",""
"139","Sportage","22","Sportage"
"1237","Stinger","22","Stinger"
"1229","Stonic","22","Stonic"
"955","Venga","22","Venga"
"1294","XCeed","22","XCeed"
"","","22","K2500"
"","","22","K2900"
"","","22","Pregio"
"843","A112","23",""
"84","Dedra","23",""
"19","Delta","23","Delta"
"61","K","23",""
"758","Kappa","23","Kappa"
"183","Lybra","23","Lybra"
"536","Musa","23","Musa"
"343","Phedra","23","Phedra"
"842","Prisma","23",""
"743","Thema","23","Thema"
"342","Thesis","23","Thesis"
"841","Trevi","23",""
"1013","Voyager","23","Voyager"
"339","Y","23",""
"78","Y10","23",""
"340","Ypsilon","23","Ypsilon"
"992","Ypsilon Elefantino","23",""
"204","Z","23",""
"749","Zeta","23","Zeta"
"231","Defender","24","Defender"
"232","Discovery","24","Discovery"
"939","Discovery 4","24",""
"1134","Discovery Sport","24","Discovery Sport"
"313","Freelander","24","Freelander"
"115","Range Rover","24","Range Rover"
"994","Range Rover Evoque","24","Range Rover Evoque"
"546","Range Rover Sport","24","Range Rover Sport"
"1218","Range Rover Velar","24","Range Rover Velar"
"985","CT","25","CT"
"1251","ES","25","ES"
"746","GS","25","GS"
"126","GS300","25",""
"334","GS430","25",""
"583","GS450h","25",""
"335","GS460","25",""
"883","IS","25","IS"
"323","IS200","25",""
"565","IS220d","25",""
"480","IS250","25",""
"479","IS300","25",""
"1512","LBX","25","LBX"
"1203","LC","25","LC"
"1494","LM","25","LM"
"741","LS","25","LS"
"32","LS400","25",""
"33","LS430","25",""
"602","LS460","25",""
"620","LS600h","25",""
"1125","NX","25","NX"
"1126","RC","25","RC"
"930","RX","25","RX"
"333","RX300","25",""
"581","RX350","25",""
"562","RX400h","25",""
"1436","RZ","25","RZ"
"929","SC","25","SC"
"430","SC430","25",""
"1256","UX","25","UX"
"","","25","GS F"
"","","25","IS F"
"","","25","LF-A"
"","","25","RC F"
"","","25","UX 300e"
"840","224","26",""
"839","228","26",""
"403","3200 GT","26","3200 GT"
"838","Biturbo","26",""
"404","Coupé","26",""
"336","Ghibli","26","Ghibli"
"948","GranCabrio","26","GranCabrio"
"552","Gransport","26",""
"623","GranTurismo","26","GranTurismo"
"1416","Grecale","26","Grecale"
"1181","Levante","26","Levante"
"1332","MC20","26","MC20"
"338","Quattroporte","26","Quattroporte"
"337","Shamal","26",""
"483","Spyder","26","Spyder"
"","","26","Coupe"
"","","26","Gran Sport"
"80","121","27",""
"162","323","27","323"
"79","626","27","626"
"837","929","27",""
"704","B-2500","27",""
"717","BT-50","27","BT-50"
"1140","CX-3","27","CX-3"
"1285","CX-30","27","CX-30"
"1016","CX-5","27","CX-5"
"1407","CX-60","27","CX-60"
"613","CX-7","27","CX-7"
"1137","CX-9","27","CX-9"
"377","Demio","27","Demio"
"505","Mazda2","27",""
"287","Mazda3","27",""
"561","Mazda5","27",""
"453","Mazda6","27",""
"288","MPV","27","MPV"
"223","MX3","27",""
"1321","MX-30","27","MX-30"
"237","MX5","27",""
"836","MX6","27",""
"437","Premacy","27","Premacy"
"227","RX7","27",""
"508","RX-8","27","RX-8"
"687","Serie B","27",""
"452","Tribute","27","Tribute"
"74","Xedos 6","27",""
"85","Xedos 9","27","Xedos 9"
"","","27","2"
"","","27","3"
"","","27","5"
"","","27","6"
"","","27","B 2500"
"","","27","MX-5"
"637","100D","28",""
"638","140D","28",""
"639","180D","28",""
"765","190","28",""
"762","200","28",""
"750","220","28",""
"835","230","28",""
"834","260","28",""
"731","280","28",""
"831","300","28",""
"781","400","28",""
"833","420","28",""
"832","500","28",""
"780","600","28",""
"1143","AMG GT","28",""
"1042","Citan","28","Citan"
"1299","CLA","28",""
"275","Clase A","28","Clase A"
"566","Clase B","28","Clase B"
"8","Clase C","28","Clase C"
"57","Clase CL","28",""
"1057","Clase CLA","28","Clase CLA"
"891","Clase CLC","28","Clase CLC"
"269","Clase CLK","28",""
"542","Clase CLS","28","Clase CLS"
"41","Clase E","28","Clase E"
"167","Clase G","28","Clase G"
"550","Clase GL","28",""
"1100","Clase GLA","28",""
"1162","Clase GLC","28",""
"1154","Clase GLE","28",""
"1155","Clase GLE Coupé","28",""
"905","Clase GLK","28",""
"1173","Clase GLS","28",""
"309","Clase M","28","Clase M"
"548","Clase R","28","Clase R"
"56","Clase S","28","Clase S"
"55","Clase SL","28",""
"1176","Clase SLC","28",""
"258","Clase SLK","28",""
"830","Clase SL R129","28",""
"1426","Clase T","28",""
"259","Clase V","28","Clase V"
"1238","Clase X","28",""
"1521","CLE","28",""
"1243","CLS","28",""
"1355","EQA","28",""
"1390","EQB","28",""
"1284","EQC","28",""
"1423","EQE","28",""
"1468","EQE SUV","28",""
"1383","EQS","28",""
"1469","EQS SUV","28",""
"1495","EQT","28","EQT"
"1322","EQV","28","EQV"
"1098","GLA","28","GLA"
"1306","GLB","28",""
"1439","GLC","28",""
"1194","GLC Coupé","28","GLC Coupé"
"1261","GLE","28",""
"1318","GLE Coupé","28","GLE Coupé"
"1286","GLS","28","GLS"
"1215","Mercedes-AMG GT","28",""
"1421","Mercedes-AMG SL","28",""
"473","SL-Klasse","28",""
"474","SLR McLaren","28",""
"951","SLS AMG","28",""
"666","Sprinter","28","Sprinter"
"727","Transporter","28",""
"466","Vaneo","28","Vaneo"
"260","Viano","28","Viano"
"668","Vito","28","Vito"
"","","28"," CLK"
"","","28"," GL"
"","","28"," GLE"
"","","28"," SL"
"","","28","AMG GT (C190)"
"","","28","AMG GT 4-Door Coupé"
"","","28","CL Coupe"
"","","28","Classe C (206)"
"","","28","Classe E (214)"
"","","28","Classe GLK "
"","","28","Classe S (223)"
"","","28","Classe T"
"","","28","Classe X"
"","","28","CLE (236)"
"","","28","eCitan"
"","","28","EQA (H243)"
"","","28","EQB (X243)"
"","","28","EQC (N293)"
"","","28","EQE (V295)"
"","","28","EQE SUV (X294)"
"","","28","EQS (V297)"
"","","28","EQS SUV (X296)"
"","","28","eSprinter"
"","","28","eVito"
"","","28","GLA (H247)"
"","","28","GLB (X247)"
"","","28","GLC Coupé (C254)"
"","","28","GLC SUV (253)"
"","","28","GLC SUV (X254)"
"","","28","GLE Coupé (167)"
"","","28","GLE SUV (167)"
"","","28","Marco Polo"
"","","28","SL (R232) "
"","","28","SLC"
"","","28","SLK"
"","","28","SLR"
"","","28","SLS"
"1365","eHS","29",""
"1362","HS","29","HS"
"1386","Marvel R","29","Marvel R"
"1443","MG4","29","MG4"
"1406","MG5","29","MG5"
"253","MGF","29","MGF"
"254","TF","29","TF"
"433","ZR","29","ZR"
"434","ZS","29","ZS"
"1366","ZS EV","29","ZS EV"
"435","ZT","29","ZT"
"482","ZT-T","29",""
"","","29","EHS"
"","","29","ZS (Old Model)"
"224","3000 GT","30","3000 GT"
"829","300 GT","30",""
"965","ASX","30","ASX"
"673","Canter","30","Canter"
"280","Carisma","30","Carisma"
"173","Colt","30","Colt"
"281","Eclipse","30",""
"1242","Eclipse Cross","30","Eclipse Cross"
"111","Galant","30","Galant"
"563","Grandis","30","Grandis"
"997","i-MiEV","30","i-MiEV"
"658","L200","30",""
"518","Lancer","30","Lancer"
"72","Montero","30","Montero"
"388","Montero iO","30",""
"383","Montero Sport","30",""
"509","Outlander","30","Outlander"
"206","Space Gear","30","Space Gear"
"201","Space Runner","30","Space Runner"
"376","Space Star","30","Space Star"
"174","Space Wagon","30","Space Wagon"
"","","30","L 200"
"","","30","L 300"
"228","100 NX","31",""
"157","200 SX","31","200 SX"
"169","300 ZX","31",""
"521","350Z","31","350Z"
"942","370Z","31","370Z"
"303","Almera","31","Almera"
"415","Almera Tino","31",""
"1425","Ariya","31","Ariya"
"828","Bluebird","31",""
"692","Cabstar","31","Cabstar"
"691","Cabstar E","31",""
"779","CAMION","31",""
"959","CUBE","31",""
"1188","e-NV200 EVALIA","31",""
"1018","EVALIA","31",""
"941","GT-R","31","GT-R"
"976","JUKE","31",""
"1008","LEAF","31",""
"751","Maxima","31","Maxima"
"110","Maxima QX","31",""
"34","Micra","31","Micra"
"567","Murano","31","Murano"
"685","Navara","31","Navara"
"588","NOTE","31",""
"1175","NP300 Navara","31","NP300 Navara"
"906","NP300 Pick Up","31",""
"949","NV200","31","NV200"
"1187","NV200 EVALIA","31",""
"1213","NV300","31","NV300"
"396","Pathfinder","31","Pathfinder"
"107","Patrol","31","Patrol"
"219","Patrol GR","31",""
"684","Pick-up","31","Pick-up"
"938","Pixo","31","Pixo"
"827","Prairie","31",""
"699","Primastar","31","Primastar"
"99","Primera","31","Primera"
"1129","PULSAR","31",""
"606","QASHQAI","31",""
"915","QASHQAI+2","31",""
"106","Serena","31","Serena"
"35","Sunny","31",""
"25","Terrano","31","Terrano"
"24","Terrano II","31","Terrano II"
"632","Tiida","31","Tiida"
"1391","Townstar","31","Townstar"
"644","Trade","31","Trade"
"643","Vanette","31","Vanette"
"665","Vanette Cargo","31",""
"455","X-TRAIL","31",""
"","","31","Atleon"
